,Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
12384,The Legend of the Christmas Witch // La Befana vien di notte,No,,300000,870.0,4.8,"['Adventure', 'Comedy', 'Family']","christmas,snow adventure,la befana character,italy,italian alps","During the day Paola is an ordinary primary school teacher, but at night, she turns into The Christmas Witch, a magical creature who brings gifts to the good kids."
12385,The Legions // Legiony,No,,300000,731.0,5.5,"['Drama', 'History', 'Romance']","melodrama,patriotism,world war one,army uniform,polish military","A universal story about entering adulthood in difficult times, growing up to the community. The great history is the background for the love story unfolding in the foreground: Józek, a deserter from the tsarists army who joins the..."
12387,The Lift Boy,No,,300000,2988.0,7.2,"['Comedy', 'Drama']",coming of age,The Lift Boy is a coming of age story of a 24-year-old vagabond who is forced to work at a posh building in Mumbai as a Lift Boy when his bread-winning father falls ill.
12391,The Marriage Escape // De beentjes van Sint-Hildegard,No,,300000,3206.0,7.5,"['Comedy', 'Drama']","remake,remake of czech film,dutch remake,dutch remake of czech film,husband wife relationship",
12392,The Match // La Partita,No,2020-09-01,300000,792.0,5.8,"['Drama', 'History', 'Sport']","world war two,death camps,concentration camp,timeframe 1940s,year 1944","Inspired by true events from the spring of 1944 when the Nazis organized a football match between a team of camp inmates and an elite Nazi team on Adolf Hitler&apos;s birthday. A match the prisoners are determined to win, no matter wha..."
12393,The Maus,No,,300000,5087.0,4.4,"['Drama', 'Fantasy', 'Horror']","couple,bosnian,reference to the bosnian war,knife,ptsd post traumatic stress disorder",Alex and Selma are a couple in love on a trip to the heart of Bosnia and Herzegovina to discover more about each other. Lost and seemingly surrounded by land mines a pair of locals offer to guide them home.
12396,The Mirror Has Two Faces,No,,300000,21473.0,6.6,"['Comedy', 'Drama', 'Romance']","professor,remake of french film,directed by star,dating,lecture",
12398,The Mole (2001): Season 3,No,,300000,7559.0,9.0,"['Documentary', 'Short']",,
12399,The Motive // El autor,No,2018-08-17,300000,6584.0,6.5,"['Comedy', 'Crime', 'Drama']","caught cheating,husband wife rivalry,voyeur,performance,lonely man",
12402,The Order of Myths,No,,300000,521.0,6.9,['Documentary'],f rated,
12403,The Paedophile Hunter,No,,300000,566.0,6.7,['Documentary'],"underage girl,pedophile,undercover investigator,youtube,reference to youtube",A look at the work of Stinson Hunter and his gang who pose as underage girls in order to catch pedophiles.
12404,The Pearl Button // El botón de nácar,No,,300000,2844.0,7.6,['Documentary'],"cracking,pacific,vessel,chile,garment button","Delving into the nearly-religious significance of water, this profound rumination on memory and loss bridges the gap between its mystical origins, Pinochet&apos;s coup d&apos;état, and the secret of a mother-of-pearl button at the bottom of..."
12405,The Perfect Guy,No,,300000,11157.0,5.6,"['Drama', 'Romance', 'Thriller']","hit on the head with a pot,beanbag shell,hiding under a bed while couple has sex,neighbor murdered,key in fake rock","After breaking up with her boyfriend, a professional woman gets involved with a man who seems almost too good to be true."
12406,The Photograph (2020),No,,300000,6058.0,6.1,"['Drama', 'Romance']","mother daughter relationship,safe deposit box,photographer,learning from the past,single woman",A series of intertwining love stories set in the past and in the present.
12407,The Pocket Hercules Naim // Cep Herkülü: Naim Süleymanoğlu,No,,300000,13587.0,8.2,"['Biography', 'Drama', 'History']","sport biography,migration,barbell,world record,bulgarian","The biography of Turkish weight lifter, and champion of Olympics, Naim Suleymanoglu."
12408,The Pororo Movie: Adventures in The Magical Kingdom // 뽀로로 20주년 스폐셜 출동! 리나왕국 대작전,No,,300000,,,"['Animation', 'Adventure']","magic,bear,toy,magical sleepy bear adventure",On a visit to a toy shop Jenny Onion discovers a bear who turns out to come from Magicville and who is called Sleepy. They then go on a magical adventure in a race against time to save Sleepy&apos;s friends from the treacherous Pirate ...
12409,The Possession,No,,300000,62753.0,5.9,"['Horror', 'Mystery', 'Thriller']","swarm of moths,sister sister relationship,possessed girl,dybbuk box,father daughter relationship","A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl&apos;s father teams with his ex-wife to find a way to end the curse upon their child."
12410,The Powerpuff Girls Rule!!!,No,,300000,,,,,
12411,The Precious memory of Gogo Brothers // 추억의 검정고무신,No,,300000,,,,,
12412,The Princess and the Matchmaker // 궁합,No,,300000,12870.0,7.7,"['Animation', 'Adventure', 'Drama']","novel,title appears in writing,punctuation in title,studio ghibli,anime animation","A young boy named Mahito yearning for his mother ventures into a world shared by the living and the dead. There, death comes to an end, and life finds a new beginning. A semi-autobiographical fantasy from the mind of Hayao Miyazaki."
12413,The Queen's Corgi,No,,300000,7576.0,4.9,"['Animation', 'Comedy', 'Family']","dog,christmas,christmas tree,fire,fire extinguisher",The British monarch&apos;s (Dame Julie Walters&apos;) favorite dog gets lost from the palace and finds himself at a dog fight club. He then begins his long journey to find his way back home.
12414,The Raven (2012),No,,300000,87871.0,6.4,"['Crime', 'Mystery', 'Thriller']","mystery killer,murder of a police officer,psychotronic film,character repeats someone else&apos;s dialogue,voice over narration","When a madman begins committing horrific murders inspired by Edgar Allan Poe&apos;s works, a young Baltimore detective joins forces with Poe to stop him from making his stories a reality."
12416,"The Rich, the Pauper and the Butler // Il ricco, il povero e il maggiordomo",No,,300000,,,,,
12417,The River Wild,No,,300000,49471.0,6.5,"['Adventure', 'Crime', 'Thriller']","vacation gone wrong,rafting,criminal,estranged husband,gang",Rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.
12418,The Robber Hotzenplotz // Der Räuber Hotzenplotz,No,,300000,324.0,6.2,"['Adventure', 'Comedy', 'Crime']","based on children&apos;s book,character name as title,umlaut in title,grandmother,friend","When the robber Hotzenplotz steals a grandmother&apos;s coffee grinder, Kasperl and his friend Seppel set out to get it back from him."
12419,The Rope Curse 2 // 馗降：粽邪2,Yes,2020-12-29,300000,457.0,4.8,['Horror'],,
12420,The Royal Hibiscus Hotel,No,,300000,316.0,5.4,"['Comedy', 'Romance']","love,marriage,blood relations,culture,cooking",A disillusioned London chef visits Nigeria and struggles with her matchmaking mother and restoring the family&apos;s rundown hotel. She&apos;s heartbroken when she discovers the man she loves is buying it.
12421,The Sapphires,No,,300000,15032.0,7.0,"['Biography', 'Comedy', 'Drama']","vietnam war,aboriginal,1960s,soul music,girl group","In 1968, four talented young Australian Aboriginal girls learn about love, friendship, and war when their all-girl group The Sapphires entertains the US troops in Vietnam."
12423,The Set Up (2019),No,,300000,157.0,4.3,"['Crime', 'Drama']",,A former drug smuggler and a confidence artist gets more than she bargains for when she is hired by a down on his luck businessman to assist with his scheme to marry a wealthy heiress. Things quickly take a turn for the worse as s...
12424,The Seventh Sign,No,,300000,15391.0,5.8,"['Drama', 'Fantasy', 'Horror']","apocalypse,revelation,reference to god,supernatural power,superstition","Abby Quinn is eagerly awaiting childbirth but is haunted by dreams where she suffers a miscarriage. When she decides to rent a room to a mysterious stranger, she realizes a chain of events that will unleash the end of humanity."
12425,The Sisters Brothers,No,,300000,69284.0,6.9,"['Drama', 'Western']","shootout,1850s,san francisco california,year 1851,oregon","Eli and Charlie Sisters, an infamous duo of gunslinging assassins, chase a gold prospector and his unexpected ally in 1850s Oregon."
12426,The Skin I Live In // La piel que habito,No,,300000,,,['Short'],,
12428,The Sound of Your Heart 1 // 마음의소리 1,No,,300000,139.0,6.0,['Drama'],"based on novel,independent film",
12429,The Sound of Your Heart: Reboot: Season 1 // 마음의 소리: Reboot: 시즌 1,Yes,2018-10-28,300000,166.0,6.0,['Comedy'],tv mini series,"Webtoonist Cho Seok is back with more anecdotes of mix-ups, unintended antics and bathroom blunders."
12430,The Spectacular Now,No,,300000,159891.0,7.0,"['Drama', 'Romance']","first kiss,coming of age,drunkenness,underage drinking,loss of virginity",
12432,The Stanford Prison Experiment,No,,300000,45568.0,6.8,"['Biography', 'Drama', 'History']","prisoner,male nudity,male rear nudity,bare chested male,rear nudity","In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building."
12434,The Sunday Runoff // 決戦は日曜日,No,,300000,63.0,6.3,['Comedy'],,"Tsutomu Tanimura is a 30-year-old man, living in a provincial city. He works as a private secretary for Shohei Kawashima, who is a member of the House of Representatives and he has strong support from his constituents. One day, Sh..."
12435,The Swiss Family Robinson (1981): Season 1,No,,300000,237.0,6.2,['Adventure'],"pirate,family character name in title,family relationships,remake,based on novel",A family shipwrecked on a deserted island tries to survive the best way they can. All is going well until a gang of pirates arrives on the island looking for a hidden treasure.
12440,The Unremarkable Juanquini: Season 1 // Chichipatos: Temporada 1,Yes,2020-05-15,300000,11869.0,8.4,['Short'],,
