,Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
9870,The Witch: Part 1 - The Subversion // 마녀,No,,600000,16559.0,7.1,"['Action', 'Mystery', 'Sci-Fi']","school,witness,amnesia,fight,gore",A high school student with amnesia tries to uncover what has happened to her. All leading her into deeper troubles ultimately revealing a darkness she could not have imagined.
9871,The World Between Us (2021): Season 1,No,,600000,61.0,7.0,"['Drama', 'Romance']",,"Follows the story of Luisito Asuncion and Emilia Libradilla, who grew up together in the Libdradillas and feel that they&apos;re destined for each other, but some people are keen to keep them far apart."
9872,The Zoya Factor // द ज़ोया फ़ैक्टर,No,,600000,2703.0,4.3,"['Comedy', 'Drama', 'Romance']","overacting,disaster,dumb,crap,fictional brand","Based on Anuja Chauhan&apos;s novel, Zoya Factor is a rom-com about Zoya, an advertising agent, and her relationship with the captain of Team India, Nikhil Khoda."
9873,Thi Mai // Thi Mai: rumbo a Vietnam,Yes,,600000,2776.0,6.0,"['Comedy', 'Family']",adoption,"Along with her two friends, a determined woman travels to Vietnam to bring home the young girl her recently deceased daughter had planned to adopt."
9875,ThirTEEN Terrors: Season 1 // เพื่อนเฮี้ยน..โรงเรียนหลอน: ซีซั่น 1,No,,600000,112.0,9.0,['Short'],,A look behind the scenes of Criminal Minds Season 13.
9876,Thunderstruck (2012),No,,600000,5779.0,5.1,"['Comedy', 'Family', 'Fantasy']","basketball,basketball game,basketball ball,basketball hoop,basketball jersey","When Brian, a hopelessly uncoordinated young fan magically switches talents with his hero, basketball star Kevin Durant, he becomes the star of his high school team, while Kevin Durant suddenly can&apos;t make a shot to save his life."
9878,"To Each, Her Own // Les goûts et les couleurs",Yes,2018-06-24,600000,140.0,6.2,"['Drama', 'Romance']","lesbian couple,coming out to family,lesbian relationship,lesbian love,female protagonist","Jess meets Casey, a very openly gay woman and quickly the girls form a strong romantic bond which forces Jess to come to terms with her true sexuality; risking her family and hurting her best friend/husband."
9879,Together // Spolu,No,,600000,23923.0,7.4,"['Comedy', 'Drama', 'Romance']","commune,lesbian,lgbt,hippie,open relationship",
9880,Trash // Trash - A Esperança Vem do Lixo,No,,600000,22616.0,7.1,"['Adventure', 'Crime', 'Drama']","corruption,wallet,slum,brazil,bible",
9883,Trouble (2019),No,,600000,3830.0,5.8,"['Animation', 'Adventure', 'Comedy']","dog,abandon,2020s,21st century,cg animation","A pampered dog named Trouble must learn to live in the real world, while trying to escape from his former owner&apos;s greedy children."
9884,True: Grabbleapple Harvest,Yes,2019-11-01,600000,515.0,7.1,"['Animation', 'Short', 'Adventure']","reference to halloween,mask,candy,pumpkin,trick or treat",Fearless eight-year old guardian True uses wishes from the Wishing Tree to help protect the citizens of the colorful land of the Rainbow Kingdom.
9885,Tucker and Dale vs. Evil,No,,600000,190790.0,7.5,"['Comedy', 'Horror']","cabin in the woods,pickled eggs,cabin,blonde,group of friends",Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students.
9886,Tuesdays & Fridays,No,,600000,874.0,4.5,"['Comedy', 'Musical', 'Romance']",meeting,"To avoid the burden of commitment, a young lawyer and a writer agree to be romantic partners only two days a week. That won&apos;t get complicated - right?"
9887,Twenty Your Life On: Season 2 // 二十不惑: 第2季,No,,600000,16.0,6.5,"['Adventure', 'Comedy']","reference to robinson crusoe by daniel defoe,rat,non binary,experimental","This film is not just an adaptation of Daniel Defoe&apos;s 1719 novel Robinson Crusoe. Rather, it addresses the larger cultural myth that has grown from the premise of the book: a white man &apos;civilising&apos; indigenous inhabitants of an isl..."
9888,Two and a Half Men: Season 7,No,,600000,17365.0,6.0,"['Comedy', 'Crime']","caper crime,forgery,heist,statue,security guard",A comedy centered on three museum security guards who devise a plan to steal back the artworks to which they have become attached after they are transferred to another museum.
9889,Two Distant Strangers,Yes,2021-04-09,600000,18988.0,6.9,"['Short', 'Drama', 'Sci-Fi']","time loop,racist cop,dog,police brutality,black man",A man trying to get home to his dog gets stuck in a time loop that forces him to relive a deadly run-in with a cop.
9890,Two Sentence Horror Stories: Season 2,No,,600000,395.0,5.4,['Horror'],"anthology film,portmanteau film,episodic structure,omnibus film,insurance company",
9893,Ugly Delicious: Season 2,Yes,2020-03-06,600000,,,['Reality-TV'],,
9894,Ultras,Yes,2020-03-20,600000,5342.0,6.2,['Drama'],"naples italy,naples,calcio,soccer,ultras","Naples. At almost fifty years old Sandro is the leader of the Apache, a group of ultras with whom he has spent his whole life at the stadium: a life of violence, clashes, passions, and unshakable values. Now that a hooligan preven..."
9895,"Un gars, une fille (1999): Season 1",No,,600000,,,,,
9897,Up for Love // Un homme à la hauteur,No,,600000,8986.0,6.3,"['Comedy', 'Romance']","lawyer,remake,hit by a car,cyclist,art gallery","A lawyer dating a dashing, wealthy architect four and a half feet tall gets ribbed by her family, employees and jealous ex about his stature."
9898,Upin&Ipin: Season 9,No,,600000,817.0,7.3,"['Animation', 'Adventure', 'Comedy']","twin,folklore,ampersand in title,character names in title,punctuation in title","Upin, Ipin and their friends come across a mystical &apos;keris&apos; that opens up a portal and transports them straight into the heart of a kingdom."
9900,Violet Evergarden: Eternity and the Auto Memory Doll // ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,Yes,,600000,6119.0,7.4,"['Animation', 'Drama', 'Family']","artificial arm,prosthetic body part,manor house,artificial limb,war veteran","Violet Evergarden, a former soldier returned from war, comes to teach at a women&apos;s academy and changes a young girl&apos;s life."
9901,Voices of Fire: Season 1,Yes,2020-11-20,600000,,,"['Action', 'Adventure', 'Drama']","planet,moon,space,galaxy,young","When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival."
9903,Waffles + Mochi's Restaurant: Season 1,Yes,2022-10-17,600000,67.0,7.0,['Family'],,"Waffles and Mochi open their very own restaurant; as chefs, the two taste-buddies serve up sweet, salty and spicy dishes inspired by the ingredients from their travels."
9904,Wake Up Ladies: The Series // Wake Up ชะนี The Series,No,,600000,91.0,6.2,"['Short', 'Comedy']","politics,swear word in title,profanity in title,censored profanity",A political film starring Samuel L. Jackson.
9906,West Coast Customs: Season 4,Yes,,600000,,,"['Documentary', 'Short']",,
9907,Who Am I // Who Am I – Kein System ist sicher,No,,600000,61523.0,7.5,"['Crime', 'Drama', 'Mystery']","hacker,bnd,multiple personality disorder,social engineering,cyber terrorism",
9908,Why Are You Like This: Season 1,Yes,2021-04-16,600000,,,"['Short', 'Comedy']",,
9909,Wild Mountain Thyme,No,,600000,11414.0,5.7,"['Comedy', 'Drama', 'Romance']","screenplay adapted by author,ireland,adaptation directed by original author,land dispute,neighbor neighbor relationship",A pair of star-crossed lovers in Ireland get caught up in their family&apos;s land dispute.
9910,Witching & Bitching // Las brujas de Zugarramurdi,No,,600000,15303.0,6.4,"['Action', 'Comedy', 'Fantasy']","witch,village,love,mansion,heist",
9912,Women of Mafia // Kobiety Mafii,No,,600000,1261.0,3.8,"['Action', 'Crime', 'Drama']","sex scene,mafia,drugs,morocco,chainsaw","After taking control of the capital, Nanny&apos;s gang prepares for the biggest smuggling action in the history of Poland."
9913,Wormwood: Chapters 1-6,Yes,2017-12-15,600000,,,"['Short', 'Comedy', 'Thriller']",,"The first six segments of &apos;Genre Studies,&apos; a holistic project that experiments with telling film stories in miniature, often in a single shot. Both minimalist and maximalist, it simplifies the form of film genres while simultaneou..."
9914,Ya Boy Kongming!: Season 1 // パリピ孔明: シーズン1,No,,600000,243.0,6.1,"['Short', 'Drama', 'Family']","dog,mother,society for the prevention of cruelty to animals,trial,family relationships","Eleven year old Davy Allen, whose father recently passed making Davy the proverbial man of the house, has formed a bond with an old hound dog named Buck. Davy believes Buck is mistreated by his owner, Mr. Thornycroft, as Buck is s..."
9916,Your Name Engraved Herein // 刻在你心底的名字,Yes,2020-12-23,600000,7482.0,7.3,"['Drama', 'Romance']","gay teenager,gay kiss,homophobia,boarding school,falling in love","In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma."
9917,Yowamushi Pedal: Glory Line // 弱虫ペダル GLORY LINE,No,,600000,,,,,
9918,Yu Yu Hakusho: Ghost Files: Season 4 // 幽☆遊☆白書: シーズン4,No,,600000,,,"['Animation', 'Short']",anime animation,A promotional bumper for Yu Yu Hakusho airing on Adult Swim.
9920,Ẹlẹṣin Ọba: The King's Horseman,Yes,2022-11-04,600000,437.0,4.4,"['Adventure', 'Drama', 'History']","ritual,suicide,based on stage play,character name as title,year 1943","After his king dies, a horseman must sacrifice himself to serve his ruler in the afterlife but sudden distractions lead to unexpected tragedy."
9921,1 Kadın 1 Erkek: Season 1,No,,500000,11869.0,8.4,['Short'],,
9923,24 Hours in A&E: Season 2,No,,500000,24.0,5.2,"['Short', 'Comedy']",,"A Jock, while being bored at home during the pandemic, he is waiting for his dealer to bring him weed. He tries to pass his time doing...absolutely nothing but to touch himself."
9924,24 Hours in A&E: Season 3,No,,500000,24.0,5.2,"['Short', 'Comedy']",,"A Jock, while being bored at home during the pandemic, he is waiting for his dealer to bring him weed. He tries to pass his time doing...absolutely nothing but to touch himself."
9925,37 Seconds // 37セカンズ,No,2020-01-31,500000,3054.0,7.4,['Drama'],"cerebral palsy,disability,wheelchair,artist,male prostitute","Yuma is a young Japanese woman with cerebral palsy. Torn between her obligations towards her family and her dream to become a manga artist, she struggles to lead a self-determined life."
9926,45 rpm: Season 1 // 45 revoluciones: Temporada 1,No,2019-08-15,500000,,,,,
9927,7 Khoon Maaf // सात खून माफ़,No,,500000,6414.0,6.3,"['Comedy', 'Drama', 'Mystery']","married,love,marriage,confession,arson","Susanna is hungry for love and will go to any extent to find it in its purest form. In her quest for the perfect man, she gets married a number of times as each of her husband&apos;s die mysteriously."
9928,A Beautiful Life // 不再讓你孤單 // 不再让你孤单,Yes,,500000,6676.0,6.4,"['Drama', 'Music', 'Romance']","performer,fisherman,song,life,manager","Elliott, a young fisherman with an extraordinary voice, gets the chance of a lifetime when high-profile music manager Suzanne discovers him at a party."
9929,A Beautiful Life // 不再讓你孤單 // 不再让你孤单,Yes,,500000,6676.0,6.4,"['Drama', 'Music', 'Romance']","performer,fisherman,song,life,manager","Elliott, a young fisherman with an extraordinary voice, gets the chance of a lifetime when high-profile music manager Suzanne discovers him at a party."
9933,A Go! Go! Cory Carson Summer Camp,Yes,2020-08-04,500000,,,,,
9934,A Little Help with Carol Burnett: Season 1,Yes,2018-05-04,500000,253.0,6.3,['Talk-Show'],"advice,non fiction","With some help from Carol Burnett, kids dish out advice to celebrities and everyday people alike in front of a live audience."
9935,"A Long Way to Come Home // Jalan yang Jauh, Jangan Lupa Pulang",Yes,,500000,362.0,6.6,['Drama'],"sequel,father,mother,travel,love",
9936,A Love You,No,,500000,241.0,5.3,"['Comedy', 'Romance']","friendship,best friend,friendship between men,homelessness,kiss","After a Hangover and an unforgivable night with a beautiful stranger , Manu wakes up alone with her address on his arm. Convinced that she is the love of his life, he will do anything he can to find her. Manu drags his best friend..."
9937,A Nightmare on Elm Street (2010),No,,500000,106287.0,5.2,"['Crime', 'Drama', 'Horror']","dream,nightmare,horror movie remake,child molestation,child molester",
9938,A Secret Love,Yes,2020-04-29,500000,4819.0,7.8,"['Documentary', 'Biography', 'Drama']","love,timeframe 1940s,baseball,1940s,year 1947","Falling in love in 1947, two women -- Pat Henschel and pro baseball player Terry Donahue -- begin a 65-year journey of love and overcoming prejudice."
9939,A Sun // 陽光普照 // 阳光普照,Yes,2020-01-24,500000,9783.0,7.6,"['Crime', 'Drama']","suicide,father son relationship,jail,pregnancy,coercion","A family of four fractures under the weight of unmet expectations, unexpected tragedy, and uncompromising pride."
9940,A Taiwanese Tale of Two Cities: Season 1 // 雙城故事: 第 1 季 // 双城故事: 第 1 季,Yes,2018-09-01,500000,,,['Documentary'],,
9942,ABCD 2,No,,500000,6933.0,5.4,"['Biography', 'Drama', 'Music']","3 dimensional,dance,3d","Based on the true story of the Fictitious Dance group; their rise to fame, sudden downfall, and their heroic attempt to seek vindication by regaining their lost pride and glory."
9943,Abe (2019),No,,500000,2257.0,6.2,"['Comedy', 'Drama']","bare chested boy,cooking,torn between 2 religions,summer camp,fasting","With the help of a Brazilian chef, a 12-year-old boy who dreams of being a cook tries to find the ideal recipe to break down the cultural barriers that divide his half Israeli and half Palestinian family."
9944,Afonso Padilha: Classless // Afonso Padilha: Alma de Pobre,Yes,2020-09-03,500000,255.0,6.8,['Comedy'],"tv special,brazilian stand up comedy,brazilian comedian,stand up comedy,stand up comedy special",Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.
9946,Al Kabeer: Season 6 // الكبير أوي: Season 6,No,,500000,,,,,
9948,All the Money in the World,No,,500000,,,,,
9951,American Woman (2019),No,,500000,361.0,5.1,['Drama'],"toronto international film festival,timeframe 1970s",
9952,Amy Schumer Growing,Yes,2019-03-19,500000,4380.0,5.5,['Comedy'],"tv special,stand up comedy,stand up comedy special",
9953,An Almost Perfect Scam // Futro z misia,No,,500000,352.0,5.3,"['Comedy', 'Romance']","france,wife,filmmaker,extramarital affair,female nudity",A smalltime US filmmaker goes to Cannes to try to get his movie in the limelight. A wife of one of the producers there gets interested in his story and they begin an affair.
9954,An Invisible Cradle: Season 1 // 透明なゆりかご: シーズン1,No,,500000,,,['Drama'],"roman porno,sex",
9955,Anchorman: The Legend of Ron Burgundy,No,,500000,373903.0,7.1,['Comedy'],"burrito,blonde woman,ron burgundy character,anchorman,news anchor",
9956,Ang Pangarap Kong Holdap,No,,500000,580.0,7.1,['Comedy'],"first person title,four word title","Set in the imaginary Barangay Husay, Eman teams up with his two friends, Toto and Carlo who start as the underdogs, failing at every opportunity to succeed in their small-time scams. They then meet Nicoy who becomes part of Eman&apos;s..."
9957,Angel of Death (2009),No,,500000,2426.0,4.9,"['Action', 'Crime', 'Thriller']","death in title,body lands on a car,knocked unconscious,assassin,mob",
9958,Anjaan,No,,500000,5773.0,5.2,"['Action', 'Crime', 'Thriller']","one word title,brother,handicapped,killing spree,love interest","Krishna comes to Mumbai in search of his brother Raju Bhai, an underworld don. Through Raju Bhai&apos;s gangster friends, his past life is revealed. What happened to Raju Bhai? Will Krishna find him?"
9959,Ankhon Dekhi,No,,500000,12451.0,7.9,"['Comedy', 'Drama']","eccentricity,telephone call,resigning from a job,family relationships,anger","After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
9960,Apollo 11 (2019),No,,500000,26838.0,8.1,"['Documentary', 'History']","apollo 11,astronaut,reference to michael collins the astronaut,cold war,electronic music score",
9963,Are You Afraid of the Dark? (2019): Season 1,No,,500000,,,,,
9965,Around the World in 80 Days (2021),No,,500000,844.0,4.7,"['Animation', 'Adventure', 'Comedy']","travel,globetrotting adventure",A bookish marmoset embarks on a wild adventure to travel around the planet in 80 days after accepting a challenge from a greedy frog.
9969,Awara Paagal Deewana // आवारा पागल दीवाना,No,,500000,8988.0,6.2,"['Action', 'Comedy', 'Crime']","domineering wife,gangster,neighbor,hitman,henpecked husband",A dentist&apos;s life turns into a roller coaster ride when he is unknowingly embroiled in gang wars.
9970,Baahubali 2: The Conclusion (Tamil Version),No,,500000,110905.0,8.2,"['Action', 'Drama']","coronation,sequel,second part,fight,battle","Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne."
9971,Baba Parasi,No,,500000,3521.0,4.6,['Comedy'],"death,inherited money,cyprus,grave,funeral","A group of siblings that share nothing but a father come together after the patriarch&apos;s death to compete for his fortune. He left a save for his children, but took the password to the grave with him."
9972,Babylon Berlin: Season 2,No,2018-01-30,500000,10.0,6.2,"['Documentary', 'Short', 'War']","year 1945,1940s,20th century,berlin germany,world war two",
9973,Back to 1989: Season 1 // 1989 一念間: 第 1 季 // 1989一念间: 第 1 季,Yes,,500000,,,,,
9975,Bad Day for the Cut,No,,500000,8665.0,6.5,"['Action', 'Crime', 'Drama']","adult son lives with his mother,revenge,farmer,murder,ireland","A middle-aged Irish farmer, who still lives at home with his mother, sets off on a mission of revenge when his mother is murdered."
9976,Bad Genius // ฉลาดเกมส์โกง,No,,500000,22899.0,7.6,"['Comedy', 'Crime', 'Drama']","thailand,sydney australia,in medias res,long haired woman,brunette","Lynn, a genius high school student who makes money by cheating tests, receives a new task that leads her to set foot on Sydney, Australia. In order to complete the millions-Baht task, Lynn and her classmates have to finish the int..."
9980,Bangkok Love Stories: Innocence: Season 1 // Bangkok รัก Stories: ไม่เดียงสา: ซีซั่น 1,No,2018-11-14,500000,241.0,6.7,['Romance'],"group,lgbt romance,lgbt,gay male lead,gay romance","From a teenage parkour enthusiast to a bawdy widow, an eclectic group of characters find romance in Bangkok&apos;s glittering Silom district."
9981,Barbie Star Light Adventure,No,,500000,964.0,5.8,"['Animation', 'Family', 'Sci-Fi']","hoverboard,cat,hovercar,flying car,city","Barbie, a space Princess, sees her world rapidly change when the stars in the sky begin to fade away. On her fascinating voyage to a new planet, she joins forces with a special rescue team. Is cosmic Barbie the hero the universe n..."
9982,Barbie: A Perfect Christmas,No,,500000,1268.0,5.4,"['Animation', 'Family', 'Musical']","barbie,christmas,based on toy,cg animation,barbie character","With big plans and Christmas just around the corner, Barbie and her sisters pack their suitcases to visit Aunt Millie; but, instead, they wind up in a snow-capped and super-festive little town. Is this going to be the best Christm..."
9983,Barbie: Mariposa and Her Butterfly Fairy Friends,No,,500000,3317.0,6.0,"['Animation', 'Family', 'Fantasy']","dog,fairy,prince,betrayal,2000s","Join Barbie in an all-new world of Butterfly Fairies! When the Queen falls ill, it&apos;s up to brave Mariposa and her friends to journey beyond the safe borders of the city to find a cure."
9984,Barcelona: A Love Untold,Yes,,500000,844.0,6.6,"['Drama', 'Romance']","f rated,four word title,barcelona,place name in title,city name in title","A young man Elly, still trying to get over his past relationship, meets a young woman Mia in Barcelona trying to run away from her past."
9985,Be My Dad! // Szia Életem!,No,,500000,3125.0,6.3,"['Comedy', 'Romance']","catfished,catfishing,estranged father,diner,maine",A hopelessly estranged father catfishes his son in an attempt to reconnect.
9986,Be Together: Season 1 // 我和我們在一起: 第 1 季 // 我和我们在一起: 第 1 季,No,,500000,7.0,9.4,"['Documentary', 'Short', 'Music']","electro rock,gospel,90&apos;s,year in title,20th century",
9987,Beethoven's 3rd,No,,500000,6342.0,4.1,"['Family', 'Comedy']","skunk,brother sister relationship,girl dog relationship,human dog relationship,master dog relationship","The Newton family from the first two Beethoven movies is on vacation in Europe, but they do plan to attend a Newton family reunion, and to make sure one of their family members definitely makes it, they ship him to travel to there..."
9994,Bhaji In Problem,No,,500000,1099.0,7.1,['Comedy'],,"A man is married to two women; both wives unaware of the other&apos;s existence. When a proposal arrives for his sister, he must turn to Jeeta for help."
9997,Bill Nye Saves the World: Season 3,Yes,2018-05-11,500000,,,,,
9998,BLACK LAGOON Roberta's Blood Trail,No,,500000,3589.0,7.7,"['Animation', 'Action', 'Adventure']","strong language,violence,profanity,swearing,f word",
9999,Black Lightning // Черная молния,No,,500000,5383.0,5.7,"['Action', 'Sci-Fi', 'Thriller']","superhero action,superhero sci fi,car,lightning,drill","A Moscow college student&apos;s gift car from his parents turns out to be more than anyone expects when it flies, which he uses to become both a city guardian and a speedy floral delivery boy."
10000,Black Rose (2018),No,,500000,62.0,7.7,['Drama'],,
10001,Bleach (2004): Arrancar: The Fierce Fight,No,,500000,,,,,
10003,Blue Jasmine,No,,500000,210685.0,7.3,"['Comedy', 'Drama', 'Romance']","self deception,sister sister estrangement,riches to rags,snob,congenital liar","A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks like a million dollars but isn&apos;t bringing money, peace or love."
10004,Bodyguards and Assassins // 十月围城,No,,500000,8476.0,6.8,"['Action', 'Drama', 'History']","hong kong,chinese history,kung fu,martial arts,assassination",
10006,Borders of Love // Hranice lásky,No,,500000,507.0,5.6,['Drama'],"swingers party,sex scene,swinger couple,couple has sex with other couple next to each other,sex with friend&apos;s wife",
10007,Boss // बॉस,No,,500000,404.0,6.9,"['Crime', 'Drama', 'Thriller']",,
10009,Boys Over Flowers Final: Theatrical Cut // 映画 花より男子ファイナル,No,,500000,1538.0,6.8,['Drama'],"japanese drama,love,live action manga adaptation,live action adaptation,working class girl","Makino and Domyoji have decided to marry, but are they really ready to take that step? F4 (Flower Four), 4 close friends, are crucial to helping them determine if they are ready to make a lifetime commitment to each other."
10012,Buddi: Season 2,No,2020-09-11,500000,38.0,8.3,['Romance'],,Camp Buddy: Scoutmasters&apos; Season is a BL Visual Novel that features the story of Scoutmaster Yoshinori Nagira after the events of &apos;Camp Buddy.&apos; Summer has finally ended but it marks a new beginning for Camp Buddy. Follow the story...
10013,Buddy Thunderstruck: Season 1,Yes,2017-03-10,500000,100.0,4.7,"['Family', 'Animation', 'Short']","surrealism,cookie,looney tunes,buddy,character name in title",Buddy must battle a group of natives who have kidnapped his girlfriend.
10014,Burning Sands,Yes,2017-03-10,500000,3020.0,6.0,['Drama'],,"Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing."
10015,BuyBust,Yes,,500000,2070.0,5.7,"['Action', 'Crime', 'Thriller']","drug,manila",An anti-drug enforcement agency stages a massive drug bust in the slums of Manila.
10016,Call My Agent Bollywood: Season 1 // कॉल माय एजेंट बॉलीवुड: सीज़न 1,No,2021-10-29,500000,6342.0,5.8,"['Comedy', 'Drama']","remake,bollywood,agent,talent,india","From pulling off casting coups to calming celebrity egos, the drama never stops for four Mumbai talent agents hustling to save their sinking company."
10017,Cape Fear (1991),No,,500000,211765.0,7.3,"['Crime', 'Thriller']","revenge,violence,houseboat,home invasion,bible quote","A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him."
10022,Castle and Castle: Season 2,Yes,2021-09-15,500000,,,,,
10023,"Center of My World // Mitte Der Welt, Die",No,,500000,7047.0,7.2,"['Drama', 'Romance']","male frontal nudity,gay sex,dysfunctional family,gay athlete,rejection","After a summer spent with his his best friend Kat to escape his family, Phil goes back to school and starts to question his feelings towards Nicholas, a new classmate."
10024,Chaman Bahaar // चमन बहार,No,,500000,10868.0,6.9,"['Comedy', 'Drama']","unrequited love,village,male gaze,satire,teenage girl","A small town panwalla falls for a schoolgirl who lives opposite his shop. He experiences love, jealousy and betrayal without meeting her even once."
10025,Charité: Season 2,No,,500000,237.0,9.3,"['Documentary', 'Short']",,
10026,Charlie's Colorforms City: Snowy Stories,Yes,2021-11-30,500000,165.0,6.6,"['Animation', 'Adventure', 'Comedy']","audience,education,character name as title,singing,children",Charlie introduces the audience to a colorful cast of characters while taking them on an imaginative journey.
10027,Chef's Table: Volume 4: Pastry,Yes,2018-04-13,500000,,,,,
10028,Chelsea: Season 2 (2017),No,2017-04-14,500000,,,['Documentary'],"year in title,2010s,2000s,2020s,number in title",
10030,Children of Adam: Season 1 // أولاد آدم: موسم 1,No,,500000,11869.0,8.4,['Short'],,
10031,Christmas at the Palace,No,,500000,99.0,5.2,"['Comedy', 'Drama', 'Family']","six word title,christmas in title,christmas","A family-friendly, multi-generational romantic comedy about an over-achieving executive who quits her job just before Christmas and goes to her father&apos;s country inn to try to find some balance again."
10033,Churchill’s Secret Agents: The New Recruits: Season 1,Yes,2018-06-29,500000,635.0,7.7,"['Documentary', 'History', 'Reality-TV']","tv mini series,british history,world war two,covert operation,military training","Immersive history series focusing on one of World War II&apos;s most covert organisations, Britain&apos;s Special Operations Executive. A group of modern-day volunteers undertake the SOE agent training programme."
10034,Cirque du Freak: The Vampire's Assistant,No,,500000,47742.0,5.8,"['Action', 'Adventure', 'Fantasy']","vampire versus vampire,based on young adult novel,circus freak,freakshow,based on novel","Teenager Darren Shan meets a mysterious man at a freak show who turns out to be a vampire. After a series of events, Darren must leave his normal life and go on the road with the Cirque du Freak, becoming a creature of the night."
10035,Cloverfield,No,,500000,415492.0,7.0,"['Adventure', 'Horror', 'Sci-Fi']","found footage,gigantic monster,alien,video camera,monster",A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.
10036,Coded Bias,Yes,,500000,2695.0,6.8,['Documentary'],"exploration,racial bias,artificial intelligence,machine intelligence,massachusetts institute of technology","When MIT Media Lab researcher Joy Buolamwini discovers that facial recognition does not see dark-skinned faces accurately, she embarks on a journey to push for the first-ever U.S. legislation against bias in algorithms that impact..."
10037,Come Dine Champion of Champions: Season 1,No,,500000,23.0,8.1,['Reality-TV'],champion,"the man behind the voice - dave lamb - invites past winners to &apos;his&apos; stately home to compete against each other in the ultimate battle, come dine champion of champions."
10039,Contraband (2012),No,,500000,125588.0,6.4,"['Action', 'Adventure', 'Crime']","smuggling,prison,cocaine,action violence,violence",
10040,Cooked: Limited Series,Yes,2016-02-19,500000,,,,,
10041,Counterpunch,Yes,2017-06-16,500000,793.0,4.8,"['Action', 'Biography', 'Drama']","boxing,boxing sport,boxer,young","A young boxer, Emilio, from the wrong side of the tracks with big dreams of winning the Golden Gloves boxing championship, finds himself at a cross roads after being locked up."
10042,Crayon Shin-chan the Movie: Explosion! The Hot Spring's Feel Good Final Battle // 映画クレヨンしんちゃん 爆発! 温泉わくわく大決戦,No,,500000,,,,,
10043,Crayon Shin-chan the Movie: Pursuit of the Balls of Darkness // 映画 クレヨンしんちゃん 暗黒タマタマ大追跡,No,,500000,444.0,7.2,"['Animation', 'Action', 'Adventure']","delayed release,friendship,school,anime animation",When the five visit a private academy Kazama is attacked. He is left with reduced intelligence and strange bite marks. Now available on DVD and BluRay in Japan in the original Japanese audio.
10045,Crayon Shin-chan the Movie: The Storm Called: The Kasukabe Boys of the Evening Sun // 映画 クレヨンしんちゃん 嵐を呼ぶ! 夕陽のカスカベボーイズ,No,,500000,,,,,
10046,Crazyhead: Season 1,Yes,2016-12-16,500000,,,,,
10048,Crocodiles // Vorstadt Krokodile,No,,500000,,,,,
10049,Cuckoo: Season 3,No,2016-04-14,500000,,,"['Short', 'Drama']",,An essay by a 9-year-old boy reunited the estranged family members.
10050,Dad in Training // Tout pour être heureux,No,,500000,568.0,6.2,"['Comedy', 'Drama']","female nudity,brother sister relationship,reference to francois mitterrand,judge,courtroom","Following the breakdown of his marriage, a self-involved man begins to embrace fatherhood."
10051,Dark Money: Season 1,No,,500000,347.0,5.5,"['Animation', 'Family', 'Short']","department store,toy comes to life,surrealism,mirror,merrie melodies",
10052,Dave Chappelle: What’s in a Name?,Yes,2022-07-07,500000,17892.0,7.3,"['Comedy', 'Drama']","france,reference to adolphe by benjamin constant,moroccan cuisine,dinner party,name",Vincent is about to become a father. At a meeting with childhood friends he announces the name for his future son. The scandalous name ignites a discussion which surfaces unpleasant matters from the past of the group.
10053,David Spade: Nothing Personal,Yes,2022-04-26,500000,944.0,5.8,"['Documentary', 'Comedy']","stand up comedy,drugs,tv special,stand up comedy special",Follows David Spade sharing his disdain for crabs and his unique approach to turning down drugs. Spade is going to prove that no topic is off limits.
10056,Dear White People: Volume 4,Yes,2021-09-22,500000,26402.0,6.2,"['Comedy', 'Drama', 'Romance']","race relations,satire,ivy league university,controversy,election",
10057,Death Note: Season 1 // デスノート: シーズン1,No,,500000,31580.0,7.5,"['Crime', 'Drama', 'Fantasy']","live action remake of anime,serial killer,based on comic book,tokyo japan,based on manga","A battle between the world&apos;s two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals."
10060,Deliha,Yes,,500000,4839.0,4.6,"['Comedy', 'Family', 'Romance']","character name as title,one word title,estate agent,photographer,photo studio","Crazy Zeliha&apos;s story begins when she goes to a fortune-teller one day with her friends. The very same day, Cemal and his gorgeous-looking brother, Cemil, open a photography studio in the neighborhood and things become to get even ..."
