,Title,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Release Year,Release Month,Release Day,Available Globally
2989,Trailer Park Boys: Season 9,2015-03-26 00:00:00,6400000,3898,7.9,['Comedy'],"trailer park,killing a pet,dark comedy,reference to reveen,reference to patrick swayze",Two petty felons have a documentary made about their life in a trailer park.,2015,3,Thursday,Yes
2990,What Happened to Monday,2017-08-18 00:00:00,6400000,131704,6.8,"['Action', 'Crime', 'Fantasy']","overpopulation,one child policy,actress playing multiple roles,population control,septuplets",unknown,2017,8,Friday,No
2992,Along Came a Spider,0,6300000,94469,6.4,"['Drama', 'Thriller']","kidnapping,ransom,based on novel,police officer,kidnapping a girl",unknown,0,0,Unknown,No
2993,Attack on Titan: Season 3 Part 1 // 進撃の巨人: シーズン3 パート1,0,6300000,15271,5.0,"['Action', 'Adventure', 'Drama']","live action remake of anime,based on anime,based on manga,titan,giant",unknown,0,0,Unknown,No
2994,Barbie & Chelsea: The Lost Birthday,0,6300000,403851,7.0,"['Adventure', 'Comedy', 'Fantasy']","barbie,mattel,existential crisis,patriarchy,doll",unknown,0,0,Unknown,No
2995,Battle: Los Angeles,0,6300000,184028,5.7,"['Action', 'Adventure', 'Sci-Fi']","alien invasion,extraterrestrial,gunfire,alien attack,female veterinarian",A squad of U.S. Marines becomes the last line of defense against a global invasion.,0,0,Unknown,No
2996,Charlie and the Chocolate Factory,0,6300000,512957,6.7,"['Adventure', 'Comedy', 'Family']","psychotherapy,chocolate factory,chocolate,golden ticket,caterpillar",unknown,0,0,Unknown,No
2998,Dangerous Liaisons // Les Liaisons dangereuses,2022-07-08 00:00:00,6300000,74110,7.6,"['Drama', 'Romance']","sexual manipulation,seduction,emotional abuse,france,female frontal nudity",A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.,2022,7,Friday,Yes
2999,Furioza,2022-04-01 00:00:00,6300000,5477,6.3,"['Action', 'Crime', 'Drama']","criminal investigation,female rear nudity,female full frontal nudity,female frontal nudity,hooligan","An event from the past separates the fate of three friends. Unexpectedly, in the life of David (Mateusz Banasiuk) she appears again. Dzika (Weronika Ksiazkiewicz) - once the love of his life, now an experienced policewoman, makes ...",2022,4,Friday,Yes
3000,Greenhouse Academy: Season 2,2018-02-14 00:00:00,6300000,6780,6.6,"['Drama', 'Family', 'Mystery']","astronaut,school","Almost a year after their astronaut mother&apos;s tragic death, brother and sister Alex and Hayley Woods start to attend an elite boarding school for future leaders, but they soon realize that that everything is not as it seems.",2018,2,Wednesday,Yes
3002,Holidate,2020-10-28 00:00:00,6300000,75938,6.1,"['Comedy', 'Romance']","holiday,christmas,date,love,unwanted gift","Fed up with being single on holidays, two strangers agree to be each other&apos;s platonic plus-ones all year long, only to catch real feelings along the way.",2020,10,Wednesday,Yes
3003,I Used to Be Famous,2022-09-16 00:00:00,6300000,10423,6.6,"['Comedy', 'Drama', 'Music']","based on short film,dramedy,friendship,pop star,life","Follows Vince, a desperate former popstar who dreams of making a comeback. An impromptu jam session with autistic young drummer Stevie sparks an unexpected friendship between the two misunderstood musicians.",2022,9,Friday,Yes
3008,Lighter & Princess: Lighter and Princess // 點燃我，溫暖你 // 点燃我，温暖你,0,6300000,421,6.8,"['Sci-Fi', 'Family', 'Animation']","magnet,rabbit,bunny,periscope,time bomb",unknown,0,0,Unknown,No
3009,Lucy (2014),0,6300000,525048,6.4,"['Action', 'Sci-Fi', 'Thriller']","drugs,brain capacity,fictional drug,tough girl,synthetic drug",unknown,0,0,Unknown,No
3011,Men of Plastic // 압꾸정,0,6300000,360,5.5,"['Comedy', 'Crime', 'Drama']",unknown,"A natural-born networker is set out for his kingdom in Apgujeong The most glamorous part of Seoul, Apgujeong thrives with new possibilities. Dae Gook who&apos;s a native of Apgujeong and rules its ground is eager to start his own groun...",0,0,Unknown,No
3012,Muscles & Mayhem: An Unauthorized Story of American Gladiators: Limited Series,2023-06-28 00:00:00,6300000,60,6.9,"['Short', 'Comedy', 'Drama']","boy,bodybuilder,pet donkey,car accident,barbie doll",Richard&apos;s sister Millie wants to be a bodybuilder. What happens when she is a better boy than he is?,2023,6,Wednesday,Yes
3013,Peppermint (2018),0,6300000,69534,6.5,"['Action', 'Thriller']","revenge,loss of husband,female protagonist,hanging body,corruption","Five years after her husband and daughter are killed in a senseless act of violence, a woman comes back from self-imposed exile to seek revenge against those responsible and the system that let them go free.",0,0,Unknown,No
3014,Point Blank,2019-07-12 00:00:00,6300000,22765,7.3,"['Crime', 'Drama', 'Thriller']","money,revenge,alcatraz,neo noir,ambiguous ending","After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the money that was stolen from him.",2019,7,Friday,Yes
3016,Pokémon Ultimate Journeys: The Series: Part 3,2023-06-23 00:00:00,6300000,46544,7.5,"['Animation', 'Action', 'Adventure']","pokemon,pikachu,ash ketchum character,dawn character,team rocket","Ash Ketchum, his yellow pet Pikachu, and his human friends explore a world of powerful creatures.",2023,6,Friday,No
3018,Rambo: Last Blood,0,6300000,107259,6.1,"['Action', 'Crime', 'Thriller']","vigilante,sequel,cartel,u.s. mexico border,prostitution",unknown,0,0,Unknown,No
3020,Rumble (2021),0,6300000,8477,5.9,"['Animation', 'Comedy', 'Family']","cgi animation,monster,training,dancing,kaiju","In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father&apos;s footsteps by coaching a loveable underdog monster into a champion.",0,0,Unknown,No
3022,Surviving R. Kelly Part III: The Final Chapter: Season 1,0,6300000,123,7.5,"['Documentary', 'Crime']","tv mini series,me too movement,sexual abuse,rape","The groundbreaking, Peabody award-winning, Emmy-nominated, documentary series Surviving R. Kelly concludes with the final installment following the former R&B superstar as he faces multiple federal and state trials. While millions...",0,0,Unknown,No
3023,Terminator Genisys,0,6300000,289686,6.3,"['Action', 'Adventure', 'Sci-Fi']","cyborg,future,time machine,human versus cyborg,human versus robot",unknown,0,0,Unknown,No
3025,The Hunt (2020),0,6300000,124771,6.5,"['Action', 'Horror', 'Thriller']","gun,satire,hunting humans,human hunted down for sport,pig","Twelve strangers wake up in a clearing. They don&apos;t know where they are, or how they got there. They don&apos;t know they&apos;ve been chosen - for a very specific purpose - The Hunt.",0,0,Unknown,No
3027,The Promise: Season 1 // Pangako Sa 'Yo: Season 1,0,6300000,65,8.9,['Short'],unknown,"Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",0,0,Unknown,No
3028,The Purge: Election Year,0,6300000,108119,6.0,"['Action', 'Horror', 'Sci-Fi']","murder,showdown,church,female senator,female politician","Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge.",0,0,Unknown,No
3029,Tobot Galaxy Detectives: Season 1 // 또봇 V: 시즌1,0,6300000,23,6.4,['Animation'],"aeni,korean animation,cg animation,family friendly,mecha","Young detective Tyler King tackles all kinds of mysteries with his friends, the Galaxy Detectives.",0,0,Unknown,Yes
3030,Two Summers: Season 1 // Twee Zomers: Seizoen 1,2022-06-03 00:00:00,6300000,277,7.3,"['Short', 'Drama']",unknown,unknown,2022,6,Friday,No
3031,Vaathi,0,6300000,9628,7.3,"['Action', 'Drama']","education,privatization,young",The life of a young man and his struggles against the privatization of education.,0,0,Unknown,No
3033,72 Dangerous Places to Live: Season 1,0,6200000,468,6.2,['Documentary'],unknown,"From poisonous water to poisonous dunes, polluted air, flooding, earthquakes and rising sea levels, 72 Most Dangerous Places to Live provides a depiction of life on Earth, and some of the locals who live there. It is an ecologial,...",0,0,Unknown,Yes
3034,A Babysitter's Guide to Monster Hunting,2020-10-15 00:00:00,6200000,4793,5.4,"['Comedy', 'Family', 'Fantasy']","child,halloween,babysitter,close up of eyes,high school",A babysitter embarks on a mission to save a child who&apos;s been abducted by monsters.,2020,10,Thursday,Yes
3035,A Quiet Place (2018),0,6200000,569469,7.5,"['Drama', 'Horror', 'Sci-Fi']","survival,sign language,deafness,silence,post apocalypse",A family struggles for survival in a world where most humans have been killed by blind but noise-sensitive creatures. They are forced to communicate in sign language to keep the creatures at bay.,0,0,Unknown,No
3036,Astro Boy (2009),0,6200000,39239,6.2,"['Animation', 'Action', 'Adventure']","character name as title,astro boy character,troubled production,gender in title,psychotronic film",unknown,0,0,Unknown,No
3038,Creed II,0,6200000,151961,7.1,"['Action', 'Drama', 'Sport']","baby,training montage,sequel,boxing match,boxer","Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",0,0,Unknown,No
3039,Death Note,2017-08-25 00:00:00,6200000,89389,4.6,"['Crime', 'Drama', 'Fantasy']","based on manga,live action remake of anime,cell phone,seattle washington,villain","A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals.",2017,8,Friday,Yes
3041,F is for Family: Season 3,2018-11-30 00:00:00,6200000,40562,8.0,"['Animation', 'Comedy', 'Drama']","1970s,middle class,gross out comedy,drowning,political satire","Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",2018,11,Friday,Yes
